Country ,Country Code,2018
Afghanistan,AFG,1955.006208
Angola,AGO,6452.355165
Albania,ALB,13364.1554
Arab World,ARB,17570.1376
United Arab Emirates,ARE,75075.25741
Argentina,ARG,20610.56855
Armenia,ARM,10343.17559
Antigua and Barbuda,ATG,26868.13352
Australia,AUS,51663.36509
Austria,AUT,55454.68929
Azerbaijan,AZE,18044.13678
Burundi,BDI,744.182072
Belgium,BEL,51407.99834
Benin,BEN,2424.755845
Burkina Faso,BFA,1984.884306
Bangladesh,BGD,4371.754986
Bulgaria,BGR,21960.36994
Bahrain,BHR,47303.04851
"Bahamas, The",BHS,32087.72915
Bosnia and Herzegovina,BIH,14623.67405
Belarus,BLR,19994.80408
Belize,BLZ,8648.0888
Bermuda,BMU,
Bolivia,BOL,7873.166243
Brazil,BRA,16096.40096
Barbados,BRB,18554.12928
Brunei ,BRN,80920.04868
Bhutan,BTN,10167.93406
Botswana,BWA,18615.79334
Central African Republic,CAF,859.9356196
Canada,CAN,48130.25597
Switzerland,CHE,68060.94105
Chile,CHL,25222.52778
China,CHN,18236.61298
Cote d'Ivoire,CIV,4207.086934
Cameroon,CMR,3785.079978
Democratic Republic of the Congo,COD,932.1720068
Republic of the Congo,COG,5662.063411
Colombia,COL,15012.93027
Comoros,COM,2913.387306
Cabo Verde,CPV,7454.063917
Costa Rica,CRI,17671.09535
Cyprus,CYP,38513.28457
Czechia,CZE,39743.59709
Germany,DEU,53074.54012
Djibouti,DJI,
Dominica,DMA,11129.86119
Denmark,DNK,55671.16527
Dominican Republic,DOM,17748.18532
Algeria,DZA,15481.78762
Ecuador,ECU,11734.38739
Egypt,EGY,12412.3094
Eritrea,ERI,
Spain,ESP,39715.43906
Estonia,EST,35973.77646
Ethiopia,ETH,2022.137961
Finland,FIN,48416.93603
Fiji,FJI,10879.47846
France,FRA,45342.39574
Gabon,GAB,17875.76115
United Kingdom,GBR,45973.5735
Georgia,GEO,12004.57383
Ghana,GHA,4746.684995
Gibraltar,GIB,
Guinea,GIN,2504.869745
Gambia,GMB,2612.000995
Guinea-Bissau,GNB,1799.067891
Equatorial Guinea,GNQ,22743.82443
Greece,GRC,29592.15242
Grenada,GRD,15557.54504
Greenland,GRL,
Guatemala,GTM,8462.374008
Guyana,GUY,8640.73737
High income,HIC,50630.96212
"Hong Kong SAR, China",HKG,64596.56385
Honduras,HND,5138.752457
Croatia,HRV,27579.78083
Haiti,HTI,1866.617589
Hungary,HUN,31102.50275
Indonesia,IDN,13079.6193
India,IND,7762.88177
Iran,IRN,
Iraq,IRQ,17435.85393
Iceland,ISL,57303.06078
Israel,ISR,39919.16965
Italy,ITA,41830.42633
Jamaica,JAM,9326.664059
Jordan,JOR,9478.904588
Japan,JPN,42797.45852
Kazakhstan,KAZ,27879.75195
Kenya,KEN,3467.556478
Kyrgyzstan,KGZ,3884.708809
Cambodia,KHM,4360.854404
Kiribati,KIR,2293.920333
St. Kitts and Nevis,KNA,30207.79021
South Korea,KOR,40111.77576
Kuwait,KWT,72897.56235
Laos,LAO,7439.59936
Lebanon,LBN,13081.10746
Liberia,LBR,1308.629536
Libya,LBY,20764.16414
St. Lucia,LCA,13881.37213
Liechtenstein,LIE,
Sri Lanka,LKA,13473.66309
Lesotho,LSO,3219.457157
Lithuania,LTU,35461.3591
Luxembourg,LUX,113337.4205
Latvia,LVA,30304.8525
Morocco,MAR,8611.709833
Monaco,MCO,
Moldova,MDA,7271.641919
Madagascar,MDG,1891.320668
Maldives,MDV,15307.72194
Mexico,MEX,19844.64567
Marshall Islands,MHL,3989.037658
North Macedonia,MKD,16358.66205
Mali,MLI,2316.6552
Malta,MLT,42581.09786
Myanmar,MMR,6674.028647
Montenegro,MNE,20689.98675
Mongolia,MNG,13799.90485
Mozambique,MOZ,1459.698413
Mauritania,MRT,4150.965246
Mauritius,MUS,23750.98804
Malawi,MWI,1310.995555
Malaysia,MYS,31782.15336
Namibia,NAM,11101.82628
Niger,NER,1063.421841
Nigeria,NGA,5990.850432
Nicaragua,NIC,5533.551064
Netherlands,NLD,56328.94114
Norway,NOR,65510.58527
Nepal,NPL,3089.556352
Nauru,NRU,16504.25793
New Zealand,NZL,41005.42087
Oman,OMN,41859.93448
Pakistan,PAK,5567.055608
Panama,PAN,25553.69671
Peru,PER,14418.07067
Philippines,PHL,8951.085654
Palau,PLW,18510.21566
Papua New Guinea,PNG,4336.244657
Poland,POL,31336.6035
Puerto Rico,PRI,39540.58693
North Korea,PRK,
Portugal,PRT,33415.4379
Paraguay,PRY,13599.92656
Qatar,QAT,126898.4259
Romania,ROU,28206.35705
Russia,RUS,27588.12544
Rwanda,RWA,2251.556388
Saudi Arabia,SAU,55335.67959
Sudan,SDN,4767.689827
Senegal,SEN,3782.538613
Singapore,SGP,101531.6302
Solomon Islands,SLB,2422.819533
Sierra Leone,SLE,1601.974029
El Salvador,SLV,8331.804142
Somalia,SOM,
Serbia,SRB,17434.91613
South Sudan,SSD,
Small states,SST,23836.72369
Sao Tome and Principe,STP,3418.58693
Suriname,SUR,15510.46464
Slovakia,SVK,33736.40094
Slovenia,SVN,38048.78466
Sweden,SWE,53208.88436
Eswatini,SWZ,10637.84173
Seychelles,SYC,30557.07572
Syria,SYR,
Turks and Caicos Islands,TCA,25370.73354
Chad,TCD,1968.258262
Togo,TGO,1773.896632
Thailand,THA,19051.33338
Tajikistan,TJK,3449.779316
Turkmenistan,TKM,19304.10131
Timor-Leste,TLS,7658.434996
Tonga,TON,6419.561778
Trinidad and Tobago,TTO,32014.78313
Tunisia,TUN,12502.82019
Turkey,TUR,28068.85941
Tuvalu,TUV,4049.56438
Tanzania,TZA,3240.262937
Uganda,UGA,2038.073892
Ukraine,UKR,9249.462135
Uruguay,URY,23572.17746
United States,USA,62794.58565
Uzbekistan,UZB,8556.051512
St. Vincent and the Grenadines,VCT,12287.9755
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Vietnam,VNM,7447.814334
Vanuatu,VUT,3221.149823
Kosovo,XKX,11348.36345
Yemen,YEM,2575.126385
South Africa,ZAF,13686.88236
Zambia,ZMB,4223.906936
Zimbabwe,ZWE,3029.793005